"id","external_key","skill_name","is_language"
16361,"KS125VQ77NY9Q16MVVTQ","Lingala Language",True
16482,"ESB4E841DF6089ADF1B6","Lithuanian Language",True
16756,"KS1260P75VM5GHSC5JWB","Luganda",True
17075,"KS7G8HC650SFHQKCCFL7","Maithili (Language)",True
17080,"KS120W6745PYJGVL0Y4L","Malay Language",True
17082,"KS120W76C2KD655JWZN6","Malaysian Language",True
17081,"KS1263M67L1F59PFJ6QV","Malayalam Language",True
17215,"KS7G38K6Q7NX167YWJJ7","Marathi (Language)",True
17322,"ES55FD83C12C38306563","Marshallese Language",True
18402,"KS7G0806FPXKYSV785QH","Mizo (Language)",True
18578,"ES41703F014C36401942","Mongolian Language",True
19210,"KS7G2MS6KT8H14B2HW38","Ndebele (Language)",True
19258,"KS7G5MM6GJWC63H4CXL4","Nepali (Language)",True
19725,"KS1272S6MB15BT3TRJZB","Norwegian Languages",True
3796,"KS121BZ71Q1VTW1FK5WW","Cambodian Language",True
21081,"KS127K16FYKHX2Y3ZJ0P","Pangasinan Language",True
21099,"KS127K9706NR5KHVYX3S","Papiamento",True
21197,"KS127L46LDS85Z7DDXNJ","Pashto Language",True
22075,"KS127XJ6N5TJD85JDNPW","Polish Language",True
22187,"ES6D4F5379D1F10ABCC2","Portuguese Language",True
23114,"KS1287N78N602YXZBHSV","Punjabi Dialects",True
23115,"KS1287P6CZLSR0R0SPBK","Punjabi Language",True
25011,"KS7G36X64R2XFXC4571W","Saraiki (Punjabi Language Dialect)",True
24501,"ES3B17EB65FAE181BAA3","Romanian Language",True
15673,"KS125N276576H13RTW4F","Kirundi",True
24590,"ES6FA055263AB5A79CF7","Russian Language",True
24996,"KS7G7LM6QSC2H9ZQHXRK","Sango (Language)",True
25002,"KS4407V6GH08TPFJDMF2","Sanskrit",True
25471,"ES8C3A7BBDB14B2D1395","Serbian Language",True
25644,"KS7G3JN6S16DYRKPBFT4","Shan (Language)",True
27820,"KS4416H62C8N72BR3M4R","Taishanese",True
25710,"KS440K177YP392SZD6LR","Shona Language",True
25838,"KS7G38G61K662LXZF8DS","Silesian (Language)",True
25902,"KS440LW6B7BJ82JLVT4P","Sindhi Language",True
26017,"KS440MX6LZRNH8JRWRDX","Slovak Language",True
26018,"KS440MX6XSY9MKN2ZN1F","Slovenian Language",True
26386,"ES912B5F35428DE92174","Somali Language",True
4018,"KS7G5CV6T33NQRTLX5YD","Castilian Spanish",True
26501,"KS123N6726N4C5J0PGW1","Spanish Language",True
27475,"ES10A9B6B01E7275DDBA","Swahili Language",True
27479,"KS7G4ZT6N93LTTH6H4VK","Swati (Language)",True
27483,"KS4413T6PBY2H3ZWPX4H","Swedish Language",True
27838,"KS7G62F6YLKZ0049Z5N8","Tamil (Language)",True
27839,"KS4416P5YWT8BYCKNP5R","Tamil Languages",True
28108,"KS4418Y6Q4GGDGLJVCBR","Telugu Language",True
28241,"KS441BS6V4SGCN2ZXF93","Tetum Language",True
28284,"ES2469BF1D94F8595276","Thai Language",True
5421,"KS121YK6PMRN1ZB9VYDD","Classical Tibetan",True
28413,"KS7G3ZZ6DXCC8H51TBF6","Tibetan (Language)",True
28419,"KS441D96JFLMW4P8PKTC","Tigrinya Language",True
28515,"KS126CF60P5MHH6W30DP","Tok Pisin",True
28941,"KS440HY6TKYDQ4D7CMR4","Tswana Language",True
28954,"KS7G39L64JYNJYFF5SJ7","Tulu (Language)",True
28993,"ES8895996371A2ECE232","Turkish Language",True
29321,"KS441P46N6FKY9H5Q9Q7","Urdu Language",True
29422,"ESD07C72E7B428FDF1AD","Uzbek Language",True
29777,"ESFF2EE62AC1EC64DDAF","Vietnamese Language",True
30768,"KS4424L6SMXXJPTXQCCX","Wolof Languages",True
31076,"KS7G6YW6YNMG2886GN10","Xhosa (Language)",True
31156,"KS4428P6CJB8SVNNV60T","Yiddish Language",True
31167,"KS7G7TP6LLJF8DWSNK27","Yoruba (Language)",True
11454,"KS7G0V96QW19ZHB0875Y","Frisian (Language)",True
11762,"KS7G40G64PJX7YQNMQVV","Garifuna (Language)",True
20090,"KS1277R6WVCC7H8ZFQT1","Okanagan Languages",True
16774,"KS1260Z61PB2PXFDNCX8","Luxembourgish Language",True
17186,"KS7G6QV5ZXR19B3DK01L","Manx (Language)",True
20748,"KS1209P6RL78PYTL3Y8X","Oromo Language",True
29101,"KS441M26959GKTJ5YY29","Ukrainian Language",True
